Swarogi map file
Size;40;20
Player;8;10
Terrain;11;6;2
Terrain;11;7;1
Terrain;11;8;1
Terrain;11;9;1
Terrain;11;10;1
Terrain;11;11;3
Terrain;11;12;2
Terrain;11;13;1
Terrain;11;14;2
Terrain;11;15;3
Terrain;11;16;1
Terrain;11;17;1
Terrain;11;18;3
Terrain;11;19;4
Terrain;12;0;4
Terrain;12;1;8
Terrain;12;2;8
Terrain;12;3;7
Terrain;12;4;7
Terrain;12;5;1
Terrain;12;6;1
Terrain;12;7;1
Terrain;12;8;1
Terrain;12;9;2
Terrain;12;10;3
Terrain;12;11;3
Terrain;12;12;3
Terrain;12;13;3
Terrain;12;14;1
Terrain;12;15;1
Terrain;12;16;1
Terrain;12;17;2
Terrain;12;18;3
Terrain;12;19;3
Terrain;13;0;4
Terrain;13;1;8
Terrain;13;2;8
Terrain;13;3;7
Terrain;13;4;1
Terrain;13;5;1
Terrain;13;6;1
Terrain;13;7;2
Terrain;13;8;2
Terrain;13;9;2
Terrain;13;10;3
Terrain;13;11;3
Terrain;13;12;6
Terrain;13;13;3
Terrain;13;14;3
Terrain;13;15;1
Terrain;13;16;2
Terrain;13;17;3
Terrain;13;18;3
Terrain;13;19;4
Terrain;14;0;4
Terrain;14;1;8
Terrain;14;2;8
Terrain;14;3;7
Terrain;14;4;1
Terrain;14;5;1
Terrain;14;6;2
Terrain;14;7;2
Terrain;14;8;2
Terrain;14;9;3
Terrain;14;10;3
Terrain;14;11;3
Terrain;14;12;6
Terrain;14;13;6
Terrain;14;14;3
Terrain;14;15;1
Terrain;14;16;1
Terrain;14;17;3
Terrain;14;18;4
Terrain;14;19;4
Terrain;15;0;8
Terrain;15;1;8
Terrain;15;2;8
Terrain;15;3;7
Terrain;15;4;1
Terrain;15;5;2
Terrain;15;6;3
Terrain;15;7;3
Terrain;15;8;3
Terrain;15;9;3
Terrain;15;10;3
Terrain;15;11;3
Terrain;15;12;6
Terrain;15;13;3
Terrain;15;14;3
Terrain;15;15;1
Terrain;15;16;3
Terrain;15;17;3
Terrain;15;18;4
Terrain;15;19;4
Terrain;16;0;8
Terrain;16;1;8
Terrain;16;2;4
Terrain;16;3;3
Terrain;16;4;2
Terrain;16;5;1
Terrain;16;6;3
Terrain;16;7;3
Terrain;16;8;3
Terrain;16;9;3
Terrain;16;10;4
Terrain;16;11;4
Terrain;16;12;3
Terrain;16;13;3
Terrain;16;14;3
Terrain;16;15;2
Terrain;16;16;1
Terrain;16;17;3
Terrain;16;18;3
Terrain;16;19;4
Terrain;17;0;8
Terrain;17;1;4
Terrain;17;2;3
Terrain;17;3;2
Terrain;17;4;1
Terrain;17;5;2
Terrain;17;6;3
Terrain;17;7;3
Terrain;17;8;4
Terrain;17;9;4
Terrain;17;10;4
Terrain;17;11;3
Terrain;17;12;3
Terrain;17;13;3
Terrain;17;14;3
Terrain;17;15;2
Terrain;17;16;1
Terrain;17;17;2
Terrain;17;18;2
Terrain;17;19;4
Terrain;18;0;8
Terrain;18;1;8
Terrain;18;2;3
Terrain;18;3;2
Terrain;18;4;1
Terrain;18;5;1
Terrain;18;6;3
Terrain;18;7;4
Terrain;18;8;4
Terrain;18;9;4
Terrain;18;10;4
Terrain;18;11;4
Terrain;18;12;4
Terrain;18;13;4
Terrain;18;14;3
Terrain;18;15;3
Terrain;18;16;1
Terrain;18;17;2
Terrain;18;18;6
Terrain;18;19;3
Terrain;19;0;8
Terrain;19;1;3
Terrain;19;2;6
Terrain;19;3;2
Terrain;19;4;1
Terrain;19;5;3
Terrain;19;6;4
Terrain;19;7;4
Terrain;19;8;4
Terrain;19;9;4
Terrain;19;10;4
Terrain;19;11;4
Terrain;19;12;4
Terrain;19;13;3
Terrain;19;14;2
Terrain;19;15;1
Terrain;19;16;2
Terrain;19;17;6
Terrain;19;18;3
Terrain;19;19;4
Terrain;20;0;4
Terrain;20;1;3
Terrain;20;2;6
Terrain;20;3;2
Terrain;20;4;1
Terrain;20;5;2
Terrain;20;6;3
Terrain;20;7;4
Terrain;20;8;4
Terrain;20;9;4
Terrain;20;10;4
Terrain;20;11;4
Terrain;20;12;4
Terrain;20;13;4
Terrain;20;14;3
Terrain;20;15;1
Terrain;20;16;2
Terrain;20;17;6
Terrain;20;18;3
Terrain;20;19;8
Terrain;21;0;3
Terrain;21;1;6
Terrain;21;2;2
Terrain;21;3;1
Terrain;21;4;3
Terrain;21;5;3
Terrain;21;6;4
Terrain;21;7;4
Terrain;21;8;4
Terrain;21;9;4
Terrain;21;10;4
Terrain;21;11;4
Terrain;21;12;4
Terrain;21;13;3
Terrain;21;14;1
Terrain;21;15;1
Terrain;21;16;2
Terrain;21;17;3
Terrain;21;18;8
Terrain;21;19;8
Terrain;22;0;4
Terrain;22;1;2
Terrain;22;2;2
Terrain;22;3;1
Terrain;22;4;2
Terrain;22;5;3
Terrain;22;6;3
Terrain;22;7;3
Terrain;22;8;3
Terrain;22;9;4
Terrain;22;10;4
Terrain;22;11;4
Terrain;22;12;3
Terrain;22;13;3
Terrain;22;14;2
Terrain;22;15;1
Terrain;22;16;2
Terrain;22;17;3
Terrain;22;18;4
Terrain;22;19;8
Terrain;23;0;4
Terrain;23;1;3
Terrain;23;2;3
Terrain;23;3;1
Terrain;23;4;2
Terrain;23;5;3
Terrain;23;6;3
Terrain;23;7;3
Terrain;23;8;4
Terrain;23;9;4
Terrain;23;10;3
Terrain;23;11;3
Terrain;23;12;3
Terrain;23;13;3
Terrain;23;14;1
Terrain;23;15;2
Terrain;23;16;3
Terrain;23;17;4
Terrain;23;18;8
Terrain;23;19;8
Terrain;24;0;4
Terrain;24;1;4
Terrain;24;2;3
Terrain;24;3;3
Terrain;24;4;1
Terrain;24;5;3
Terrain;24;6;3
Terrain;24;7;6
Terrain;24;8;3
Terrain;24;9;3
Terrain;24;10;3
Terrain;24;11;3
Terrain;24;12;3
Terrain;24;13;3
Terrain;24;14;2
Terrain;24;15;1
Terrain;24;16;7
Terrain;24;17;8
Terrain;24;18;8
Terrain;24;19;8
Terrain;25;0;4
Terrain;25;1;4
Terrain;25;2;3
Terrain;25;3;1
Terrain;25;4;1
Terrain;25;5;3
Terrain;25;6;6
Terrain;25;7;6
Terrain;25;8;3
Terrain;25;9;3
Terrain;25;10;3
Terrain;25;11;2
Terrain;25;12;2
Terrain;25;13;2
Terrain;25;14;1
Terrain;25;15;1
Terrain;25;16;7
Terrain;25;17;8
Terrain;25;18;8
Terrain;25;19;4
Terrain;26;0;4
Terrain;26;1;3
Terrain;26;2;3
Terrain;26;3;2
Terrain;26;4;1
Terrain;26;5;3
Terrain;26;6;3
Terrain;26;7;6
Terrain;26;8;3
Terrain;26;9;3
Terrain;26;10;2
Terrain;26;11;2
Terrain;26;12;2
Terrain;26;13;1
Terrain;26;14;1
Terrain;26;15;1
Terrain;26;16;7
Terrain;26;17;8
Terrain;26;18;8
Terrain;26;19;4
Terrain;27;0;3
Terrain;27;1;3
Terrain;27;2;2
Terrain;27;3;1
Terrain;27;4;1
Terrain;27;5;1
Terrain;27;6;3
Terrain;27;7;3
Terrain;27;8;3
Terrain;27;9;3
Terrain;27;10;2
Terrain;27;11;1
Terrain;27;12;1
Terrain;27;13;1
Terrain;27;14;1
Terrain;27;15;7
Terrain;27;16;7
Terrain;27;17;8
Terrain;27;18;8
Terrain;27;19;4
Terrain;28;0;4
Terrain;28;1;3
Terrain;28;2;1
Terrain;28;3;1
Terrain;28;4;3
Terrain;28;5;2
Terrain;28;6;1
Terrain;28;7;2
Terrain;28;8;3
Terrain;28;9;1
Terrain;28;10;1
Terrain;28;11;1
Terrain;28;12;1
Terrain;28;13;2
Terrain;28;14;2
Terrain;28;15;7
Terrain;28;16;8
Terrain;28;17;8
Terrain;28;18;8
Terrain;28;19;4
Terrain;29;0;3
Terrain;29;1;3
Terrain;29;2;1
Terrain;29;3;3
Terrain;29;4;3
Terrain;29;5;1
Terrain;29;6;1
Terrain;29;7;1
Terrain;29;8;1
Terrain;29;9;1
Terrain;29;10;1
Terrain;29;11;1
Terrain;29;12;2
Terrain;29;13;2
Terrain;29;14;8
Terrain;29;15;8
Terrain;29;16;8
Terrain;29;17;8
Terrain;29;18;3
Terrain;29;19;4
Terrain;30;0;3
Terrain;30;1;3
Terrain;30;2;2
Terrain;30;3;1
Terrain;30;4;3
Terrain;30;5;3
Terrain;30;6;1
Terrain;30;7;1
Terrain;30;8;1
Terrain;30;9;1
Terrain;30;10;1
Terrain;30;11;1
Terrain;30;12;1
Terrain;30;13;2
Terrain;30;14;8
Terrain;30;15;8
Terrain;30;16;8
Terrain;30;17;3
Terrain;30;18;3
Terrain;30;19;4
Terrain;31;0;4
Terrain;31;1;3
Terrain;31;2;1
Terrain;31;3;2
Terrain;31;4;3
Terrain;31;5;3
Terrain;31;6;2
Terrain;31;7;1
Terrain;31;8;1
Terrain;31;9;1
Terrain;31;10;1
Terrain;31;11;1
Terrain;31;12;2
Terrain;31;13;8
Terrain;31;14;8
Terrain;31;15;4
Terrain;31;16;4
Terrain;31;17;3
Terrain;31;18;4
Terrain;31;19;4
Terrain;32;0;4
Terrain;32;1;3
Terrain;32;2;3
Terrain;32;3;2
Terrain;32;4;3
Terrain;32;5;2
Terrain;32;6;3
Terrain;32;7;2
Terrain;32;8;1
Terrain;32;9;1
Terrain;32;10;1
Terrain;32;11;1
Terrain;32;12;1
Terrain;32;13;8
Terrain;32;14;8
Terrain;32;15;4
Terrain;32;16;4
Terrain;32;17;3
Terrain;32;18;5
Terrain;32;19;4
Terrain;33;0;4
Terrain;33;1;3
Terrain;33;2;2
Terrain;33;3;2
Terrain;33;4;3
Terrain;33;5;3
Terrain;33;6;3
Terrain;33;7;3
Terrain;33;8;2
Terrain;33;9;1
Terrain;33;10;1
Terrain;33;11;1
Terrain;33;12;7
Terrain;33;13;8
Terrain;33;14;8
Terrain;33;15;4
Terrain;33;16;4
Terrain;33;17;5
Terrain;33;18;4
Terrain;33;19;4
Terrain;34;0;4
Terrain;34;1;3
Terrain;34;2;3
Terrain;34;3;2
Terrain;34;4;2
Terrain;34;5;3
Terrain;34;6;3
Terrain;34;7;4
Terrain;34;8;3
Terrain;34;9;3
Terrain;34;10;3
Terrain;34;11;1
Terrain;34;12;7
Terrain;34;13;8
Terrain;34;14;8
Terrain;34;15;3
Terrain;34;16;5
Terrain;34;17;5
Terrain;34;18;5
Terrain;34;19;4
Terrain;35;0;4
Terrain;35;1;3
Terrain;35;2;2
Terrain;35;3;2
Terrain;35;4;2
Terrain;35;5;3
Terrain;35;6;4
Terrain;35;7;4
Terrain;35;8;4
Terrain;35;9;3
Terrain;35;10;8
Terrain;35;11;8
Terrain;35;12;8
Terrain;35;13;8
Terrain;35;14;3
Terrain;35;15;5
Terrain;35;16;5
Terrain;35;17;5
Terrain;35;18;4
Terrain;35;19;4
Terrain;36;0;4
Terrain;36;1;4
Terrain;36;2;3
Terrain;36;3;2
Terrain;36;4;3
Terrain;36;5;3
Terrain;36;6;3
Terrain;36;7;4
Terrain;36;8;4
Terrain;36;9;4
Terrain;36;10;8
Terrain;36;11;8
Terrain;36;12;8
Terrain;36;13;2
Terrain;36;14;3
Terrain;36;15;3
Terrain;36;16;3
Terrain;36;17;5
Terrain;36;18;4
Terrain;36;19;4
Terrain;37;0;4
Terrain;37;1;3
Terrain;37;2;3
Terrain;37;3;3
Terrain;37;4;3
Terrain;37;5;3
Terrain;37;6;4
Terrain;37;7;4
Terrain;37;8;4
Terrain;37;9;8
Terrain;37;10;8
Terrain;37;11;4
Terrain;37;12;4
Terrain;37;13;3
Terrain;37;14;3
Terrain;37;15;5
Terrain;37;16;5
Terrain;37;17;5
Terrain;37;18;4
Terrain;37;19;4
Terrain;38;0;4
Terrain;38;1;4
Terrain;38;2;4
Terrain;38;3;3
Terrain;38;4;4
Terrain;38;5;4
Terrain;38;6;4
Terrain;38;7;4
Terrain;38;8;4
Terrain;38;9;8
Terrain;38;10;8
Terrain;38;11;4
Terrain;38;12;4
Terrain;38;13;4
Terrain;38;14;4
Terrain;38;15;4
Terrain;38;16;5
Terrain;38;17;4
Terrain;38;18;4
Terrain;38;19;4
Terrain;39;0;4
Terrain;39;1;4
Terrain;39;2;4
Terrain;39;3;4
Terrain;39;4;4
Terrain;39;5;4
Terrain;39;6;4
Terrain;39;7;4
Terrain;39;8;4
Terrain;39;9;8
Terrain;39;10;8
Terrain;39;11;4
Terrain;39;12;4
Terrain;39;13;4
Terrain;39;14;4
Terrain;39;15;4
Terrain;39;16;4
Terrain;39;17;4
Terrain;39;18;4
Terrain;39;19;4
Obstacle;Dąb;12;0
Obstacle;Dąb;2;0
Obstacle;Dąb;8;0
Obstacle;Lipa;0;0
Obstacle;Lipa;6;0
Obstacle;Lipa;38;0
Obstacle;Lipa;32;0
Obstacle;Lipa;34;0
Obstacle;Lipa;28;0
Obstacle;Wierzba;14;0
Obstacle;Wierzba;24;0
Obstacle;Głaz;4;0
Obstacle;Młoda sosna;10;0
Obstacle;Młoda sosna;36;0
Decoration;Zarośla;12;0;-21;36
Decoration;Zarośla;20;0;-23;-16
Decoration;Zarośla;16;0;-23;-28
Decoration;Stokrotka;33;0;39;-2
Obstacle;Dąb;27;0
Obstacle;Dąb;5;0
Obstacle;Lipa;11;0
Obstacle;Lipa;3;0
Obstacle;Lipa;7;0
Obstacle;Wierzba;1;0
Obstacle;Wierzba;35;0
Obstacle;Młoda sosna;9;0
Decoration;Zarośla;13;0;-12;18
Decoration;Zarośla;13;0;41;1
Decoration;Zarośla;19;0;42;-10
Decoration;Zarośla;19;0;23;-36
Decoration;Zarośla;23;0;-27;-20
Decoration;Zarośla;23;0;1;-28
Decoration;Zarośla;15;0;-25;29
Decoration;Zarośla;25;0;9;16
Decoration;Stokrotka;6;1;26;35
Decoration;Stokrotka;32;1;35;-8
Obstacle;Dąb;30;1
Obstacle;Lipa;26;1
Obstacle;Wierzba;8;1
Obstacle;Młoda sosna;0;1
Obstacle;Młoda sosna;2;1
Obstacle;Młoda sosna;4;1
Decoration;Zarośla;12;1;38;-8
Decoration;Zarośla;10;1;46;-1
Decoration;Zarośla;16;1;10;25
Decoration;Zarośla;20;1;-13;-33
Decoration;Zarośla;24;1;-10;3
Decoration;Zarośla;36;1;-1;1
Decoration;Zarośla;36;1;-31;-19
Decoration;Zarośla;36;1;-22;27
Decoration;Stokrotka;7;1;-1;19
Obstacle;Dąb;37;1
Decoration;Kapusta;21;1;-11;2
Obstacle;Wierzba;39;1
Obstacle;Wierzba;17;1
Decoration;Zarośla;13;1;-20;-31
Decoration;Zarośla;19;1;-3;-34
Decoration;Zarośla;25;1;4;1
Decoration;Zarośla;25;1;-30;-18
Decoration;Zarośla;35;1;-25;-27
Decoration;Stokrotka;4;2;-3;23
Decoration;Stokrotka;38;2;-20;-3
Obstacle;Lipa;0;2
Decoration;Kapusta;20;2;-14;-2
Decoration;Kapusta;20;2;21;-15
Decoration;Zarośla;16;2;-21;-33
Decoration;Zarośla;16;2;-46;1
Decoration;Zarośla;16;2;-24;11
Decoration;Zarośla;16;2;14;-5
Decoration;Zarośla;12;2;20;36
Decoration;Zarośla;36;2;-3;-29
Decoration;Stokrotka;5;2;-3;-17
Obstacle;Lipa;39;2
Decoration;Kapusta;19;2;-11;0
Decoration;Kapusta;19;2;21;-19
Obstacle;Młoda sosna;1;2
Decoration;Zarośla;9;2;-4;24
Decoration;Zarośla;11;2;22;31
Decoration;Zarośla;11;2;29;16
Decoration;Zarośla;13;2;-33;-19
Decoration;Zarośla;37;2;-27;20
Decoration;Zarośla;37;2;-11;5
Obstacle;Dąb;0;3
Obstacle;Lipa;2;3
Decoration;Zarośla;8;3;49;-1
Decoration;Zarośla;8;3;34;12
Decoration;Zarośla;16;3;-36;-8
Decoration;Zarośla;9;3;-29;15
Decoration;Zarośla;11;3;34;-16
Decoration;Zarośla;11;3;5;31
Decoration;Zarośla;11;3;-19;24
Decoration;Stokrotka;4;4;20;-29
Decoration;Stokrotka;36;4;10;14
Decoration;Stokrotka;30;4;7;4
Obstacle;Dąb;38;4
Obstacle;Dąb;0;4
Decoration;Zarośla;6;4;11;34
Decoration;Zarośla;6;4;-24;32
Decoration;Zarośla;8;4;-47;1
Decoration;Zarośla;6;4;32;-9
Decoration;Zarośla;10;4;24;36
Decoration;Zarośla;38;4;-21;34
Decoration;Stokrotka;3;4;-12;13
Decoration;Stokrotka;37;4;-34;2
Decoration;Stokrotka;31;4;-17;10
Decoration;Stokrotka;33;4;-31;-28
Obstacle;Lipa;39;4
Obstacle;Młoda sosna;29;4
Obstacle;Młoda sosna;1;4
Decoration;Zarośla;7;4;37;8
Decoration;Zarośla;7;4;24;28
Decoration;Zarośla;7;4;-25;32
Decoration;Zarośla;7;4;41;-8
Decoration;Zarośla;7;4;-33;13
Decoration;Zarośla;5;4;29;24
Decoration;Zarośla;7;4;-10;-24
Decoration;Zarośla;11;4;-28;-27
Decoration;Zarośla;37;4;36;15
Decoration;Zarośla;6;5;25;-36
Decoration;Zarośla;38;5;-13;2
Decoration;Zarośla;4;5;-25;35
Obstacle;Most;9;4
Decoration;Zarośla;7;5;16;-37
Decoration;Zarośla;7;5;-4;-35
Decoration;Zarośla;1;5;11;3
Decoration;Zarośla;9;5;18;13
Decoration;Zarośla;37;5;33;18
Decoration;Zarośla;9;5;48;2
Decoration;Zarośla;9;5;34;-7
Obstacle;Lipa;0;6
Obstacle;Głaz;36;6
Decoration;Zarośla;8;6;25;28
Decoration;Zarośla;8;6;46;-1
Decoration;Zarośla;38;6;-27;-6
Decoration;Zboże;26;6;1;35
Decoration;Stokrotka;21;6;23;-33
Obstacle;Wierzba;39;6
Decoration;Zarośla;1;6;16;-30
Decoration;Zarośla;1;6;0;11
Decoration;Zarośla;37;6;3;17
Decoration;Zarośla;37;6;-26;6
Decoration;Zboże;25;6;-17;-9
Decoration;Zboże;25;6;3;-22
Decoration;Zboże;25;6;35;-4
Decoration;Zboże;25;6;14;14
Decoration;Zboże;25;6;-3;23
Decoration;Zboże;25;6;15;12
Decoration;Zboże;25;6;-32;19
Decoration;Zboże;25;6;23;-35
Decoration;Zboże;25;6;-28;-28
Decoration;Stokrotka;18;7;15;-31
Obstacle;Lipa;16;7
Decoration;Zarośla;2;7;18;-31
Decoration;Zarośla;36;7;33;17
Decoration;Zboże;24;7;-16;-10
Decoration;Zboże;24;7;6;-20
Decoration;Zboże;24;7;28;-32
Decoration;Zboże;24;7;33;19
Decoration;Zboże;26;7;-25;7
Decoration;Zboże;26;7;5;-5
Decoration;Zboże;26;7;-15;-17
Decoration;Zboże;26;7;-34;-4
Decoration;Zboże;24;7;13;9
Decoration;Zboże;26;7;24;-20
Obstacle;Wierzba;35;7
Decoration;Zarośla;37;7;-17;-20
Decoration;Zarośla;37;7;-27;12
Decoration;Zarośla;37;7;9;28
Decoration;Zboże;25;7;-18;-33
Decoration;Zboże;25;7;-1;-1
Decoration;Zboże;25;7;28;-17
Decoration;Zboże;25;7;11;-17
Decoration;Zboże;25;7;-21;1
Obstacle;Dąb;20;8
Obstacle;Lipa;38;8
Obstacle;Wierzba;0;8
Decoration;Zarośla;38;8;-2;32
Obstacle;Most;3;7
Decoration;Stokrotka;17;8;-39;0
Decoration;Stokrotka;27;8;-27;17
Obstacle;Lipa;21;8
Obstacle;Młoda sosna;39;8
Obstacle;Młoda sosna;19;8
Decoration;Zarośla;23;8;-7;24
Decoration;Zarośla;23;8;30;18
Decoration;Zarośla;23;8;-16;-15
Decoration;Zarośla;37;8;-12;32
Decoration;Zarośla;37;8;15;12
Decoration;Zarośla;35;8;15;30
Decoration;Stokrotka;26;9;9;3
Obstacle;Wierzba;18;9
Obstacle;Wierzba;20;9
Decoration;Zarośla;0;9;24;-37
Decoration;Zarośla;0;9;3;-36
Decoration;Zarośla;2;9;-42;5
Decoration;Zarośla;2;9;-19;-26
Decoration;Zarośla;2;9;26;-31
Decoration;Zarośla;4;9;-10;33
Decoration;Zarośla;4;9;23;10
Decoration;Zarośla;22;9;32;6
Decoration;Zarośla;22;9;8;-7
Decoration;Zarośla;38;9;-40;-1
Decoration;Zarośla;38;9;-25;-34
Decoration;Zarośla;38;9;15;-35
Decoration;Zarośla;36;9;-11;30
Decoration;Zarośla;36;9;-34;6
Decoration;Stokrotka;23;9;3;8
Obstacle;Dąb;19;9
Obstacle;Głaz;21;9
Obstacle;Młoda sosna;15;9
Decoration;Zarośla;3;9;-6;7
Decoration;Zarośla;3;9;20;15
Decoration;Zarośla;19;9;-5;27
Decoration;Zarośla;17;9;3;-17
Decoration;Zarośla;17;9;-41;5
Decoration;Zarośla;17;9;-13;14
Decoration;Zarośla;23;9;-6;-29
Decoration;Zarośla;23;9;-25;-13
Decoration;Zarośla;37;9;-31;-25
Decoration;Zarośla;35;9;34;3
Decoration;Zarośla;35;9;18;31
Decoration;Zarośla;35;9;-15;29
Decoration;Stokrotka;16;10;9;8
Decoration;Stokrotka;22;10;7;0
Obstacle;Lipa;20;10
Obstacle;Głaz;18;10
Obstacle;Młoda sosna;24;10
Decoration;Zarośla;2;10;7;33
Decoration;Zarośla;2;10;26;19
Decoration;Zarośla;2;10;-1;-2
Decoration;Zarośla;2;10;39;-8
Decoration;Zarośla;4;10;-24;-25
Decoration;Zarośla;38;10;-4;24
Decoration;Stokrotka;17;10;-11;-10
Obstacle;Dąb;21;10
Decoration;Zarośla;3;10;-10;-32
Decoration;Zarośla;3;10;9;-26
Decoration;Zarośla;19;10;22;-28
Decoration;Zarośla;35;10;-33;-25
Decoration;Zarośla;35;10;-15;13
Decoration;Zarośla;37;10;22;28
Decoration;Zarośla;37;10;-8;19
Decoration;Stokrotka;22;11;-7;-12
Obstacle;Lipa;18;11
Obstacle;Młoda sosna;0;11
Obstacle;Młoda sosna;20;11
Decoration;Zarośla;2;11;-8;-26
Decoration;Zarośla;38;11;-31;-27
Decoration;Zarośla;36;11;45;-5
Obstacle;Lipa;1;11
Obstacle;Wierzba;39;11
Obstacle;Młoda sosna;19;11
Decoration;Zarośla;21;11;8;-6
Decoration;Zarośla;37;11;-28;-17
Decoration;Stokrotka;18;12;5;-3
Obstacle;Wierzba;4;12
Decoration;Zarośla;20;12;-9;5
Decoration;Zarośla;20;12;32;-16
Decoration;Zarośla;20;12;5;-20
Decoration;Zarośla;36;12;27;-26
Decoration;Zarośla;38;12;-4;-16
Decoration;Zarośla;32;12;-19;36
Decoration;Zarośla;38;12;-19;15
Decoration;Zarośla;38;12;-2;32
Decoration;Zboże;14;12;-40;9
Decoration;Zboże;14;12;-23;-9
Decoration;Zboże;14;12;21;-8
Decoration;Zboże;14;12;5;-28
Decoration;Zboże;14;12;-7;-4
Decoration;Zboże;14;12;1;22
Decoration;Zboże;14;12;-22;29
Decoration;Zboże;14;12;14;29
